,xmin,ymin,xmax,ymax,confidence,class,name
0,686.9716186523438,1693.589111328125,741.05810546875,1756.19775390625,0.9552573561668396,0,mussel
1,478.2884826660156,1610.7928466796875,532.9883422851562,1666.908203125,0.9529311060905457,0,mussel
2,467.72174072265625,1699.399658203125,531.4114990234375,1757.8941650390625,0.9524948596954346,0,mussel
3,919.1370849609375,1083.3818359375,968.5628662109375,1136.926513671875,0.9517186880111694,0,mussel
4,775.2900390625,1176.68603515625,824.4562377929688,1228.917724609375,0.9516602754592896,0,mussel
5,853.3682250976562,1411.81201171875,906.5298461914062,1468.78955078125,0.950950026512146,0,mussel
6,774.3678588867188,1692.0433349609375,833.1357421875,1750.48779296875,0.9508622288703918,0,mussel
7,817.2857055664062,1136.9595947265625,864.0142211914062,1193.611083984375,0.9506735801696777,0,mussel
8,874.9693603515625,1488.9434814453125,927.8143310546875,1548.91748046875,0.950663685798645,0,mussel
9,684.36328125,1412.5736083984375,738.2627563476562,1464.306396484375,0.9506017565727234,0,mussel
10,394.3468933105469,1263.4864501953125,439.46405029296875,1319.2646484375,0.9505326747894287,0,mussel
11,946.629150390625,1393.1494140625,1001.9959106445312,1444.9034423828125,0.950452983379364,0,mussel
12,895.2669067382812,1552.88671875,950.3916625976562,1614.2479248046875,0.9501304030418396,0,mussel
13,700.072509765625,1154.271728515625,745.3731689453125,1204.605712890625,0.9497179388999939,0,mussel
14,402.4013671875,1589.896728515625,459.7461853027344,1645.3411865234375,0.9496592283248901,0,mussel
15,1241.16748046875,1218.130126953125,1293.547119140625,1274.6837158203125,0.9489750862121582,0,mussel
16,646.4483032226562,1091.8458251953125,689.0028686523438,1133.948486328125,0.9488975405693054,0,mussel
17,1021.0086059570312,1361.1419677734375,1076.51171875,1410.354736328125,0.9487241506576538,0,mussel
18,517.833984375,1495.7872314453125,563.5588989257812,1550.8568115234375,0.9485521912574768,0,mussel
19,754.02001953125,1229.28515625,802.5780639648438,1286.61767578125,0.9482111930847168,0,mussel
20,326.3125,1376.0050048828125,387.7945861816406,1428.6429443359375,0.9480884671211243,0,mussel
21,903.7310791015625,1404.565673828125,948.3384399414062,1452.50732421875,0.9480298161506653,0,mussel
22,678.677734375,1274.2510986328125,726.5692749023438,1324.79052734375,0.9479267597198486,0,mussel
